Area E1 — Session lifecycle (M1),,,,,,Case type
#,Test,Steps to Reproduce,Expected,Status,Comment,Case type
E1.1,session.start on first load,Playwright: navigate to demo root; OTLP fixture captures logs,session.start log present with contract attrs,Automated,m1.spec.ts @M1 session lifecycle,Positive
E1.2,session.end on pagehide (non-BFCache),Dispatch pagehide persisted=false; wait for logs,session.end exported,Automated,m1.spec.ts @M1 session lifecycle,Positive
E1.3,BFCache pagehide does not emit session.end,Dispatch pagehide persisted=true,no session.end for BFCache path,Automated,m1.spec.ts @M1 session lifecycle,Negative
E1.4,double PulseWeb.start is no-op,StrictMode + explicit start; count session.start logs,Exactly one session.start,Automated,m1.spec.ts @M1 session lifecycle,Edge
,,,,,,,
Area E2 — Installation & session identity (M1),,,,,,Case type
#,Test,Steps to Reproduce,Expected,Status,Comment,Case type
E2.1,installation.id survives reload,Reload page; compare installation.id on signals,Same installation.id,Automated,m1.spec.ts @M1 identity persistence,Positive
E2.2,installation.id in localStorage (pulse_installation_id),Read localStorage after session.start,UUID stored and matches signal,Automated,m1.spec.ts @M1 identity persistence,Positive
E2.3,localStorage throw → sessionStorage fallback,Init script blocks localStorage; capture session.start,Valid installation.id from fallback,Automated,m1.spec.ts @M1 identity persistence,Edge
E2.4,localStorage + sessionStorage blocked → in-memory,Init script blocks both storages,SDK still emits session.start with installation.id,Automated,m1.spec.ts @M1 identity persistence,Edge
E2.5,new session.id on fresh context,New browser context; compare session ids,Different session.id per fresh context,Automated,m1.spec.ts @M1 identity persistence,Positive
,,,,,,,
Area E3 — OTLP transport contract (M1),,,,,,Case type
#,Test,Steps to Reproduce,Expected,Status,Comment,Case type
E3.1,x-api-key on logs traces metrics,Route all three OTLP paths; poll until POSTs seen,Every captured request has test-api-key,Automated,m1.spec.ts @M1 OTLP pipeline,Positive
E3.2,Content-Type JSON on logs traces metrics,Same triple route; read Content-Type headers,application/json on each path that fired,Automated,m1.spec.ts @M1 OTLP pipeline,Positive
E3.3,Resource attrs platform service.version rum,Capture any signal; read resource attrs,platform=web; service.name and rum.sdk.version set,Automated,m1.spec.ts @M1 OTLP pipeline,Positive
,,,,,,,
Area E4 — Shutdown & batching (M1),,,,,,Case type
#,Test,Steps to Reproduce,Expected,Status,Comment,Case type
E4.1,PulseWeb.shutdown flushes without console errors,Call shutdown from page; collect console errors,No errors (non-favicon),Automated,m1.spec.ts @M1 SDK shutdown,Positive
E4.2,Multiple trackEvent coalesced in one logs batch,Three trackEvent in one evaluate; wait batch window,Single OTLP logs payload contains all three bodies,Automated,m1.spec.ts @M1 batching,Positive
E4.3,First export after batch delay not at init,Measure time from navigation to first export,Gap >= configured batch delay,Automated,m1.spec.ts @M1 batching,Positive
E4.4,pagehide force-flush before batch timer,Long batch delay via query + immediate pagehide,Pending log exported without waiting full delay,Automated,m1.spec.ts @M1 batching,Positive
