Milestone,Scope (milestone),Task,Owner,ETA
M1 — Foundation live,"Prove OTLP end-to-end: init, identity, session logs, optional buffer, dev ingest to ClickHouse. Internal build only; no npm. Exit: heartbeat + CORS + session.start/end + tests.","Scaffold + config: package layout, PulseWebConfig validation, instrumentation registry contract, PulseWeb.start / shutdown singleton",TBD,1–2 wk
M1 — Foundation live,"Prove OTLP end-to-end: init, identity, session logs, optional buffer, dev ingest to ClickHouse. Internal build only; no npm. Exit: heartbeat + CORS + session.start/end + tests.","Identity + resource: installation.id (3-tier), session.id + rotation, static resource attrs on all signals",TBD,1–2 wk
M1 — Foundation live,"Prove OTLP end-to-end: init, identity, session logs, optional buffer, dev ingest to ClickHouse. Internal build only; no npm. Exit: heartbeat + CORS + session.start/end + tests.","Export pipeline: HTTP OTLP traces/logs/metrics, batch processor, protobuf/JSON, gzip where applicable",TBD,1–2 wk
M1 — Foundation live,"Prove OTLP end-to-end: init, identity, session logs, optional buffer, dev ingest to ClickHouse. Internal build only; no npm. Exit: heartbeat + CORS + session.start/end + tests.","Session signals + config skeleton + persistence: session.start/end; SdkConfigFetcher (cache + background fetch); opt-in IndexedDB drain",TBD,1 wk
M1 — Foundation live,"Prove OTLP end-to-end: init, identity, session logs, optional buffer, dev ingest to ClickHouse. Internal build only; no npm. Exit: heartbeat + CORS + session.start/end + tests.","Exit gate: CORS on ingest, ClickHouse verification, unit + E2E (session lifecycle, shutdown)",TBD,0.5–1 wk
M2 — Interactions + config + React + first publish,"Ship interactions (APDEX), full remote SDK config (sampling + gates + filters), React path, first npm alpha. No CDN yet. Exit: dashboard interaction span, config failure safe, sessionSampleRate 0, SSR-safe React, npm install.",Interactions stack: interaction config fetch + matcher state machine + APDEX interaction span (mobile-parity contract),TBD,2–3 wk
M2 — Interactions + config + React + first publish,"Ship interactions (APDEX), full remote SDK config (sampling + gates + filters), React path, first npm alpha. No CDN yet. Exit: dashboard interaction span, config failure safe, sessionSampleRate 0, SSR-safe React, npm install.",Remote SDK config: sampling processor + feature gate + signal filter processors + wire-up in sdk init,TBD,2 wk
M2 — Interactions + config + React + first publish,"Ship interactions (APDEX), full remote SDK config (sampling + gates + filters), React path, first npm alpha. No CDN yet. Exit: dashboard interaction span, config failure safe, sessionSampleRate 0, SSR-safe React, npm install.",React integration: PulseProvider (SSR guard) + PulseErrorBoundary + React Router screen_session hook,TBD,1–2 wk
M2 — Interactions + config + React + first publish,"Ship interactions (APDEX), full remote SDK config (sampling + gates + filters), React path, first npm alpha. No CDN yet. Exit: dashboard interaction span, config failure safe, sessionSampleRate 0, SSR-safe React, npm install.","Build + publish: tsup ESM+CJS + types; publish @dreamhorizon/pulse-web@0.1.0-alpha.1",TBD,0.5–1 wk
M3 — Instrumentations,"Auto-capture all six areas + shared SDK plumbing. Exit: all signal types under platform=web, consent DENIED = zero export, cross-browser safe fallbacks.",Six instrumentations in parallel: errors + network + clicks + navigation + web vitals + session polish (BFCache/rotation),TBD,3–4 wk
M3 — Instrumentations,"Auto-capture all six areas + shared SDK plumbing. Exit: all signal types under platform=web, consent DENIED = zero export, cross-browser safe fallbacks.",Shared SDK: global attrs processor; screen.name chain + setScreenName; trackEvent; beforeSend; consent across all six,TBD,1–2 wk
M3 — Instrumentations,"Auto-capture all six areas + shared SDK plumbing. Exit: all signal types under platform=web, consent DENIED = zero export, cross-browser safe fallbacks.",Exit gate: dashboard verification + vitals attribution + ingest URL exclusions + test sweep,TBD,1 wk
M4 — Frameworks + ship pipeline,"Next.js + CDN/vanilla + full dist map + CI/CD + bundle budgets. Exit: examples, size-limit on PR, tag release → npm + CDN, rum.sdk.version.",Next.js + CDN: App/Pages Router providers + route tracking; async snippet + window.PulseWeb queue drain,TBD,2–3 wk
M4 — Frameworks + ship pipeline,"Next.js + CDN/vanilla + full dist map + CI/CD + bundle budgets. Exit: examples, size-limit on PR, tag release → npm + CDN, rum.sdk.version.","Full build: tsup ESM+CJS+UMD, exports map (/, /react, /nextjs), d.ts, size-limit budgets, rum.sdk.version at build",TBD,1–2 wk
M4 — Frameworks + ship pipeline,"Next.js + CDN/vanilla + full dist map + CI/CD + bundle budgets. Exit: examples, size-limit on PR, tag release → npm + CDN, rum.sdk.version.",CI/CD: PR pipeline (lint/typecheck/test/build/size-limit) + tag CD (npm + CDN + release notes),TBD,1–2 wk
M4 — Frameworks + ship pipeline,"Next.js + CDN/vanilla + full dist map + CI/CD + bundle budgets. Exit: examples, size-limit on PR, tag release → npm + CDN, rum.sdk.version.",Examples + final acceptance: React / Next / CDN demo apps + M4 exit checklist,TBD,1 wk
