task_id,task_name,feature_id,feature_name,milestone,description,assigned_to,eta,status,primary_file
T01,Repo scaffold + package.json,F01,Repo Scaffold & Config Types,M1,"Init pulse-web-otel/ repo; configure package.json; add OTEL deps (@opentelemetry/sdk-trace-web; sdk-logs; sdk-metrics; exporter-*-otlp-http); tsconfig",Jatin,2026-04-16,todo,pulse-web-otel/package.json
T02,PulseWebConfig types + validation,F01,Repo Scaffold & Config Types,M1,"Define PulseWebConfig interface; PulseDataCollectionConsent enum; required field validation (endpointBaseUrl; apiKey; serviceName); throw on invalid config",Jatin,2026-04-17,todo,pulse-web-otel/src/config.ts
T03,Installation ID implementation,F02,Installation ID,M1,"crypto.randomUUID(); 3-tier write: localStorage → sessionStorage → memory; 3-tier read fallback; migration guard for existing installs",Jatin,2026-04-18,todo,pulse-web-otel/src/session.ts
T04,Session Provider implementation,F03,Session Provider,M1,"session.id generation; 30-min inactivity timer; rotation on timeout; session.previous_id tracking; pagehide listener; BFCache pageshow detection",Jatin,2026-04-19,todo,pulse-web-otel/src/session.ts
T05,OTEL Resource Builder,F04,OTEL Resource Builder,M1,"buildResource() populating 18 static attrs (browser.name/version; os.name/version; device.type; screen.width/height; platform; rum.sdk.version; project.id; service.name)",Jatin,2026-04-19,todo,pulse-web-otel/src/resource.ts
T06,Global Attributes Processor,F04,OTEL Resource Builder,M1,"PulseGlobalAttributesProcessor: SpanProcessor + LogRecordProcessor onStart/onEmit; inject session.id; screen.name; url.path; page.url; network.connection.type dynamically",Jatin,2026-04-21,todo,pulse-web-otel/src/processors/global-attrs-processor.ts
T07,OTLP HTTP exporters setup,F05,OTLP Export Pipeline,M1,"Init OTLPTraceExporter; OTLPLogExporter; OTLPMetricExporter with endpointBaseUrl + apiKey headers; verify against Pulse ingest endpoint paths",Jatin,2026-04-21,todo,pulse-web-otel/src/exporters.ts
T08,Batch processor config + gzip,F05,OTLP Export Pipeline,M1,"BatchSpanProcessor + BatchLogRecordProcessor: scheduledDelayMillis=5000; maxQueueSize=2048; maxExportBatchSize=512; gzipBody() via CompressionStream with feature-detect fallback; sendBeacon on pagehide",Jatin,2026-04-22,todo,pulse-web-otel/src/exporters.ts
T09,IndexedDB persistence buffer,F06,IndexedDB Persistence,M1,"idb wrapper; BufferedSignal store schema (signalType; payload; timestamp; retryCount); PersistenceExporterDecorator wrapping OTLP exporter; drain on SDK init",Shruti,2026-04-23,todo,pulse-web-otel/src/persistence/indexed-db.ts
T10,SDK singleton + start() lifecycle,F07,SDK Lifecycle,M1,"PulseWebSDK class; double-init guard; PulseWeb.start() 10-step sequence (validate → identity → resource → pipeline → processors → registry → instrumentations → session → sdk-config fetch); global instance",Jatin,2026-04-24,todo,pulse-web-otel/src/sdk.ts
T11,SDK shutdown() implementation,F07,SDK Lifecycle,M1,"shutdown(): forceFlush all providers; uninstall all instrumentations; clear session; mark instance null; await all pending exports",Jatin,2026-04-25,todo,pulse-web-otel/src/sdk.ts
T12,Instrumentation Registry,F07,SDK Lifecycle,M1,"PulseInstrumentation interface: install()/uninstall(); InstrumentationRegistry.installAll(gates): iterate enabled instrumentations; uninstallAll() for shutdown",Shruti,2026-04-25,todo,pulse-web-otel/src/instrumentation-registry.ts
T13,Session Instrumentation,F08,Session Instrumentation,M1,"SessionInstrumentation.install(): emit session.start log on init; listen session.rotate → emit session.end + new session.start; pagehide → session.end with duration + screens_visited",Shruti,2026-04-26,todo,pulse-web-otel/src/instrumentations/session.ts
T14,SDK Config Fetcher,F09,SDK Config Fetcher,M1,"SdkConfigFetcher: read localStorage cache on init (sync); background fetch /v1/configs/active/ with x-pulse-sdk-name header; persist on version change; error → keep cache",Shruti,2026-04-26,todo,pulse-web-otel/src/remote-config.ts
T15,M1 unit tests,F01,Repo Scaffold & Config Types,M1,"Unit tests (Vitest + JSDOM): identity storage fallback; session rotation; resource attrs; config validation; singleton guard; batch defaults",Shruti,2026-04-28,todo,pulse-web-otel/src/__tests__/m1.test.ts
T16,M1 integration verification,F07,SDK Lifecycle,M1,"End-to-end: PulseWeb.start() → ClickHouse query for session.start with platform=web; CORS preflight verification; installation.id persistence across reload; shutdown() no pending requests",Jatin,2026-04-28,todo,—
T17,Interactions config fetcher,F10,Interactions Config Fetcher,M2,"CDN fetch at SDK init; JSON parse InteractionConfig[]; in-memory cache; graceful failure: set flag interactionsEnabled=false; no crash; no retry needed",Jatin,2026-05-02,todo,pulse-web-otel/src/interactions/config-fetcher.ts
T18,Interactions state machine,F11,Interactions Matching Algorithm,M2,"InteractionEventsTracker per config: IDLE → ONGOING → COMPLETED/ERROR states; step sequence with 6 match operators (eq/contains/regex/prefix/suffix/exists); timeout → IDLE",Jatin,2026-05-07,todo,pulse-web-otel/src/interactions/interaction-matcher.ts
T19,Interactions concurrent tracking + blacklists,F11,Interactions Matching Algorithm,M2,"InteractionManager: N concurrent trackers; event fan-out; blacklist event names; blacklist screen names; multiple configs tracked independently",Jatin,2026-05-09,todo,pulse-web-otel/src/interactions/interaction-manager.ts
T20,Interactions APDEX span output,F12,Interactions Span & APDEX,M2,"InteractionSpanBuilder.create(): APDEX scoring (Satisfied <T; Tolerating <4T; Frustrated ≥4T); user_category attr; OTel span with full attribute contract matching Android/iOS",Jatin,2026-05-12,todo,pulse-web-otel/src/interactions/interaction-span.ts
T21,Sampling Processor,F13,SDK Config Full,M2,"PulseSamplingProcessor: session-level decision made once on init; sessionSampleRate evaluation; critical event bypass (device.crash always exported); stable per session",Jatin,2026-05-07,todo,pulse-web-otel/src/processors/sampling-processor.ts
T22,Feature Gate,F13,SDK Config Full,M2,"FeatureGate.isEnabled(featureName): reads remote config; per-instrumentation enable/disable; gates InstrumentationRegistry.installAll(); re-evaluated on next page load",Jatin,2026-05-09,todo,pulse-web-otel/src/feature-gate.ts
T23,Signal Filter Processor,F13,SDK Config Full,M2,"SignalFilterProcessor: attribute drop list; attribute add/override; signal type blacklist/whitelist; stateless — applies immediately (no next-session delay)",Shruti,2026-05-12,todo,pulse-web-otel/src/processors/signal-filter-processor.ts
T24,SDK Config wire-up into init,F13,SDK Config Full,M2,"Wire SdkConfigFetcher → FeatureGate → InstrumentationRegistry; wire SamplingProcessor + SignalFilterProcessor into TracerProvider/LoggerProvider; test sessionSampleRate=0 → zero signals",Jatin,2026-05-14,todo,pulse-web-otel/src/sdk.ts
T25,React PulseProvider,F14,React Integration,M2,"PulseProvider component: SSR guard (typeof window !== undefined); singleton init (useEffect once); pass config prop; works in React StrictMode without double-init",Shruti,2026-05-07,todo,pulse-web-otel/src/integrations/react/PulseProvider.tsx
T26,React PulseErrorBoundary,F14,React Integration,M2,"PulseErrorBoundary class component: componentDidCatch → PulseWeb.reportException(error; info); emits device.crash log; re-throws for upstream boundaries",Shruti,2026-05-09,todo,pulse-web-otel/src/integrations/react/PulseErrorBoundary.tsx
T27,React Router v6 tracking hook,F14,React Integration,M2,"useRouterTracking(): useLocation() diff → screen_session span on pathname change; previous screen.name → next screen.name transition attrs",Shruti,2026-05-12,todo,pulse-web-otel/src/integrations/react/useRouterTracking.ts
T28,npm alpha publish (basic tsup),F23,Build & Distribution,M2,"tsup: ESM + CJS for core entry point; TypeScript declarations; version 0.1.0-alpha.1; publish to @dreamhorizon/pulse-web; smoke test in fresh project",Shruti,2026-05-16,todo,pulse-web-otel/tsup.config.ts
T29,M2 unit tests,F11,Interactions Matching Algorithm,M2,"State machine transitions; APDEX all bands; sampling edge cases; feature gate enable/disable; React StrictMode singleton guard",Shruti,2026-05-19,todo,pulse-web-otel/src/__tests__/m2.test.ts
T30,M2 integration verification,F12,Interactions Span & APDEX,M2,"interaction span in Interactions dashboard; APDEX correct; config fetch failure → no crash; two concurrent interactions independent; npm install works",Jatin,2026-05-19,todo,—
T31,Errors Instrumentation,F15,Errors Instrumentation,M3,"ErrorsInstrumentation.install(): window.onerror → device.crash log; window.onunhandledrejection → non_fatal log; stack normalisation; cross-origin Script error skip; pre-init queue",Shruti,2026-05-23,todo,pulse-web-otel/src/instrumentations/errors.ts
T32,Network Instrumentation,F16,Network Instrumentation,M3,"Wrap @opentelemetry/instrumentation-fetch + instrumentation-xml-http-request; custom SpanProcessor: add pulse.type=http; GraphQL POST body op name extraction; URL blocklist for Pulse ingest endpoints",Jatin,2026-05-26,todo,pulse-web-otel/src/instrumentations/network.ts
T33,Clicks Instrumentation,F17,Clicks Instrumentation,M3,"ClicksInstrumentation.install(): document addEventListener click at capture phase; element fingerprint (tag/id/classes/text truncated); rage click sliding window (3 clicks / 700ms); normalised x/y viewport coords",Shruti,2026-05-26,todo,pulse-web-otel/src/instrumentations/clicks.ts
T34,Web Vitals Instrumentation,F18,Web Vitals Instrumentation,M3,"web-vitals lib: onLCP/onCLS/onINP/onFCP/onTTFB callbacks; wrap each in meter.createObservableGauge(); add metric.rating; LCP element attribution; CLS node attribution; inject global attrs at observe() time",Shruti,2026-05-28,todo,pulse-web-otel/src/instrumentations/web-vitals.ts
T35,Navigation Instrumentation,F19,Navigation Instrumentation,M3,"screen_load span: Navigation Timing API (ttfb_ms; fcp_ms; load.duration_ms); screen_interactive span: TTI; screen_session span: History API patch (pushState/replaceState/popstate); screen.name 4-step resolution",Jatin,2026-05-30,todo,pulse-web-otel/src/instrumentations/navigation.ts
T36,Global attributes wiring + public APIs,F20,Global Attributes Wiring,M3,"Wire full dynamic attrs to all signals; PulseWeb.setScreenName() stores override; PulseWeb.trackEvent() emits custom event log; beforeSend hook plumbed through pipeline",Jatin,2026-06-02,todo,pulse-web-otel/src/index.ts
T37,Consent guard verification,F20,Global Attributes Wiring,M3,"Verify PulseDataCollectionConsent.DENIED → zero signals emitted across all 6 instrumentations; test in unit + manual; add consent check at processor level",Shruti,2026-06-04,todo,pulse-web-otel/src/consent.ts
T38,Cross-browser compatibility pass,F15,Errors Instrumentation,M3,"Firefox + Safari graceful no-ops for Chromium-only APIs (longtask; resourceTiming); test all 6 instrumentations in Firefox and Safari; fix any thrown errors",Shruti,2026-06-06,todo,—
T39,M3 unit tests,F16,Network Instrumentation,M3,"Unit tests for all 6 instrumentations: errors deduplication; network blocklist; rage click threshold; web vitals gauge emission; screen.name heuristic; consent gate",Shruti,2026-06-09,todo,pulse-web-otel/src/__tests__/m3.test.ts
T40,M3 integration verification,F19,Navigation Instrumentation,M3,"All 6 signal types in ClickHouse under platform=web; Pulse ingest endpoints excluded from network traces; rage click=true appears; web vitals attribution populated",Jatin,2026-06-09,todo,—
T41,Next.js App Router integration,F21,Next.js Integration,M4,"PulseNextProvider for app/layout.tsx; SSR guard; usePathname hook for route tracking; screen_session span on path change",Shruti,2026-06-12,todo,pulse-web-otel/src/integrations/nextjs/PulseNextProvider.tsx
