feature_id,feature_name,module,module_number,milestone,description,priority
F01,Repo Scaffold & Config Types,Foundation,1,M1,"Repo structure under pulse-web-otel/; package.json; OTEL dependencies; PulseWebConfig interface; PulseDataCollectionConsent enum; config validation",P0
F02,Installation ID,Foundation,1,M1,"3-tier storage: localStorage → sessionStorage → memory fallback; crypto.randomUUID(); persists across reloads",P0
F03,Session Provider,Foundation,1,M1,"session.id generation; 30-min inactivity rotation; session.previous_id tracking; BFCache edge cases; event emitter",P0
F04,OTEL Resource Builder,Foundation,1,M1,"Static browser attributes (browser.name/version; os.name/version; device.type; screen dims); dynamic per-signal global attrs processor",P0
F05,OTLP Export Pipeline,Foundation,1,M1,"HTTP exporters for traces/logs/metrics; BatchSpanProcessor + BatchLogRecordProcessor; 5s flush / 2048 queue / 512 batch; gzip via CompressionStream; sendBeacon flush on pagehide",P0
F06,IndexedDB Persistence,Foundation,1,M1,"idb-backed signal buffer; BufferedSignal store schema; drain stale signals on next session load; opt-in via config",P0
F07,SDK Lifecycle,Foundation,1,M1,"PulseWebSDK singleton; double-init guard; PulseWeb.start() 10-step init; shutdown() force-flush + uninstall all; CORS requirement",P0
F08,Session Instrumentation,Foundation,1,M1,"session.start log on init + rotation; session.end log on pagehide/visibilitychange; session.duration_ms; session.screens_visited",P0
F09,SDK Config Fetcher,Foundation,1,M1,"Load cached config from localStorage sync on init; background fetch /v1/configs/active/; persist on version change; apply next session",P0
F10,Interactions Config Fetcher,Interactions,3,M2,"CDN fetch at init; JSON parse; in-memory cache; graceful failure (tracking disabled silently; no crash)",P0
F11,Interactions Matching Algorithm,Interactions,3,M2,"State machine: IDLE → ONGOING → COMPLETED/ERROR; step sequence matching; 6 match operators; timeout handling; blacklists; concurrent tracker support",P0
F12,Interactions Span & APDEX,Interactions,3,M2,"APDEX scoring (Satisfied / Tolerating / Frustrated); user_category output; OTel span creation; attribute contract identical to Android/iOS",P0
F13,SDK Config Full,SDK Config,4,M2,"Sampling Processor (session-level decision; once per session; critical event bypass); Feature Gate (isEnabled per instrumentation); Signal Filter Processor (attribute drop/add/transform; applies immediately)",P0
F14,React Integration,Framework Integrations,5,M2,"PulseProvider (SSR guard; singleton init); PulseErrorBoundary (device.crash on render error); useRouterTracking hook (React Router v6; screen_session spans)",P0
F15,Errors Instrumentation,Auto-Instrumentations,2,M3,"window.onerror → device.crash log; window.onunhandledrejection → non_fatal log; stack trace normalisation; cross-origin script error handling",P0
F16,Network Instrumentation,Auto-Instrumentations,2,M3,"instrumentation-fetch + instrumentation-xml-http-request OSS base; custom SpanProcessor: pulse.type; GraphQL op name extraction; URL blocklist for Pulse ingest endpoints",P0
F17,Clicks Instrumentation,Auto-Instrumentations,2,M3,"document click capture (capture phase); element fingerprinting (tag/id/classes/text); rage click: 3 clicks / 700ms sliding window; normalised x/y coords for heatmap",P0
F18,Web Vitals Instrumentation,Auto-Instrumentations,2,M3,"web-vitals library; LCP + CLS + INP + FCP + TTFB; OTLP Gauge via createObservableGauge; metric.rating; LCP element attribution; CLS node attribution",P0
F19,Navigation Instrumentation,Auto-Instrumentations,2,M3,"screen_load span (Navigation Timing API); screen_interactive span (TTI); screen_session span (History API pushState/replaceState/popstate); screen.name 4-step resolution chain",P0
F20,Global Attributes Wiring,Auto-Instrumentations,2,M3,"Dynamic attrs on every signal: session.id; screen.name; url.path; page.url; network.connection.type; PulseWeb.setScreenName() + trackEvent() public APIs; beforeSend hook; consent guard",P0
F21,Next.js Integration,Framework Integrations,5,M4,"App Router (app/layout.tsx) + Pages Router (_app.tsx) providers; SSR guard (no localStorage is not defined); usePathname + useRouter route tracking",P1
F22,CDN / Vanilla JS Snippet,Framework Integrations,5,M4,"Async script loader; window.PulseWeb global; queue drain when bundle arrives; non-bundler usage",P1
F23,Build & Distribution,Build & Distribution,6,M4,"tsup: ESM + CJS + UMD all entry points; TypeScript declarations; npm exports map (. / ./react / ./nextjs); S3 + CloudFront CDN upload; SDK version injection at build time",P0
F24,CI/CD Pipeline,Build & Distribution,6,M4,"GitHub Actions CI: lint + typecheck + test + build + size-limit on every PR; CD: npm publish + CDN upload + GitHub release on tag pulse-web@*",P0
F25,Bundle Size Enforcement,Build & Distribution,6,M4,"size-limit: core < 30 KB gzip; react < 2 KB; CDN UMD < 80 KB; CI fails on regression",P0
