ManualSheet,ManualId,ManualTestTitle,AutomationLevel,E2E_Location,Unit_Location,GapNotes
Original M1 CSV,Area 1 — 1.1–1.9,Installation ID persistence & format,Full,e2e/m1.spec.ts @M1 identity persistence + localStorage state,src/__tests__/m1.test.ts M1 — Installation ID + extended,1.9a/1.9b marked Blocked in manual sheet — E2E covers storage throw via addInitScript (identity persistence tests)
Original M1 CSV,Area 1 — 1.1–1.27 (session + window.id),Session ID / window.id / tab model,Full,e2e/m1.spec.ts @M1 clone + reload vs clone + window.id + Area 3 block,src/__tests__/m1.test.ts Session Provider + reload/clone + SessionInstrumentation,1.24 15-min hidden: Partial — e2e does not wait 15 real minutes; use manual or long-running job
Original M1 CSV,Area 2 — 2.1–2.25,Global attrs resource headers platform,Full,e2e/m1.spec.ts @M1 payload + url + screen + resource + signal headers,src/__tests__/m1.test.ts GlobalAttributesProcessor + Resource Builder extended,2.23 metrics global attrs: Full after fix — e2e m3.spec has metric data points global attrs (@M3 web vitals); m1.spec may not assert metrics path for all globals
Original M1 CSV,Area 2 — 2.2–2.4,screen.name / url.path heuristics,Full,e2e/m1.spec.ts @M1 screen.name resolution + url attributes,src/__tests__/m1.test.ts GlobalAttributesProcessor screen heuristics,
Original M1 CSV,Area 3 — 3.1–3.15,Session start/end lifecycle matrix,Full,e2e/m1.spec.ts @M1 session lifecycle + Area 3 session lifecycle + consent 3.15,src/__tests__/m1.test.ts SessionInstrumentation + Session Provider extended,Manual CSV 3.7/3.8 wording vs e2e 3.8 — align expected behavior with pagehide/reload
Original M1 CSV,SDK Config 1–19,Dev/prod URL projectId CH ingest collector down,Partial,e2e/m1.spec.ts localStorage config version + integration paths partial,src/__tests__/m1.test.ts resolveEndpointBaseUrl + resolveConfigUrl + integration-simplified-init.test.ts,ClickHouse rows: manual CSV only — no Playwright CH assert; use separate smoke or CI job
Original M1 CSV,SDK Config 20,Double start(),Full,e2e/m1.spec.ts double PulseWeb.start,src/__tests__/m1.test.ts second start() no-op,Manual InProgress — automation exists
Original M1 CSV,SDK Config 21,DENIED consent,Full,e2e/m1.spec.ts @M1 consent + Area3 3.15,src/__tests__/m1.test.ts consent patterns if any,Manual Failed vs E2E Pass — reconcile env (query param vs config) with m1.spec
Original M1 CSV,SDK Config 22–24,PENDING / empty apiKey / _devkey edge,None,,src/__tests__/m1.test.ts apiKey missing throws; other edges partial,Add targeted unit/e2e for PENDING + empty string if product-critical
Gap themes CSV,4.1–4.5,ExportSamplingGate session + signalsToSample,Full,,src/__tests__/export-sampling-gate.test.ts all its blocks,4.1 session rate 0: Partial E2E — covered in e2e/m2.spec.ts sessionSampleRate:0; not in m1.spec
Gap themes CSV,4.6–4.8,BLACKLIST/WHITELIST + alwaysSend on filters,Full,,src/__tests__/export-sampling-gate.test.ts,Add E2E with injected active config route if browser gate must be verified end-to-end
Gap themes CSV,4.9,Invalid regex fallback,Full,,src/__tests__/sampling-signal-match.test.ts,Optional console assertion in E2E
Gap themes CSV,4.10–4.13,sampling.rules platform app_version default,Full,,src/__tests__/session-sampling-rate.test.ts,Broader rule precedence only partially unit-tested — extend if multiple rules
Gap themes CSV,5.1–5.8,merge + SignalFilterProcessor,Full,,src/__tests__/merge-pulse-sdk-config.test.ts + signal-filter-processor.test.ts,E2E does not hit arbitrary remote signal rules — relies on unit + manual gate CSV
Gap themes CSV,6.1,metricsToAdd counter batch,Partial,,src/__tests__/metrics-to-add.test.ts span export test,No Playwright OTLP metrics body assert in m1.spec — add @M1 metrics e2e if required for gate
Gap themes CSV,6.2–6.5,metricsToAdd negative/edge/logs,None,,,Add unit tests for non-match attribute target log scope; manual until done
Gap themes CSV,7.1–7.2,shutdown + double start,Full,e2e/m1.spec.ts @M1 SDK shutdown + double start,src/__tests__/m1.test.ts,
Gap themes CSV,7.3–7.4,diskBuffering drain prune,None,,,No automated e2e in repo — manual gate only; add e2e if P0
Gap themes CSV,8.1,JSON Content-Type,Full,e2e/m1.spec.ts @M1 OTLP pipeline Content-Type json,,
Gap themes CSV,8.2–8.3,protobuf gzip,None,,,Manual or collector integration test — default Playwright uses json
Gap themes CSV,8.4,CORS metering header,None,,,Infra + one-time manual; not in app tests
Gap themes CSV,9.1–9.3,FeatureGate sessionSampleRate parity,Full,,src/__tests__/m1.test.ts FeatureGate block,
Gap themes CSV,9.4,custom_events gated,Partial,e2e/m2.spec.ts feature disabled (session) pattern — not identical to custom_events,src/__tests__/m1.test.ts if trackEvent gate tested,Add explicit e2e: trackEvent with custom_events off
Gap themes CSV,10.1–10.3,Hot reload beforeSend PENDING,Partial,,m3.spec consent DENIED across instrumentations for 10.3 partial,PENDING: add unit early-return test mirroring DENIED
